23-04-2023 13:34:46 | 780 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 14:06:01 | 194 | root | DEBUG | Updating local information for node_in and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:06:01 | 194 | root | DEBUG | Updating local information for node_out and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:06:01 | 195 | root | DEBUG | Updating local information for node_d1 and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:06:01 | 195 | root | INFO | Updating global information for all nodes
25-04-2023 14:06:01 | 195 | root | DEBUG | Updating global information for node_in in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:06:01 | 195 | root | DEBUG | Updating global information for node_out in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:06:01 | 195 | root | DEBUG | Updating global information for node_d1 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:35 | 161 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 14:07:37 | 820 | root | INFO | Updating local information for all nodes
25-04-2023 14:07:37 | 820 | root | DEBUG | Updating local information for node_in and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:37 | 820 | root | DEBUG | Updating local information for node_out and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:37 | 820 | root | DEBUG | Updating local information for node_d1 and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:37 | 820 | root | INFO | Updating global information for all nodes
25-04-2023 14:07:37 | 820 | root | DEBUG | Updating global information for node_in in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:37 | 822 | root | DEBUG | Updating global information for node_out in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:07:37 | 822 | root | DEBUG | Updating global information for node_d1 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:08:17 | 775 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 14:08:20 | 919 | root | INFO | Updating local information for all nodes
25-04-2023 14:08:20 | 920 | root | DEBUG | Updating local information for node_in and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:08:20 | 920 | root | DEBUG | Updating local information for node_out and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:08:20 | 920 | root | DEBUG | Updating local information for node_d1 and connection_13 in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_1'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 1, 'connections_in': ['connection_1'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 1, 'connections_in': ['connection_13'], 'connections_in_enabled': [True], 'nodes_in': ['node_input'], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:08:20 | 920 | root | INFO | Updating global information for all nodes
25-04-2023 14:08:20 | 920 | root | DEBUG | Updating global information for node_in in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
25-04-2023 14:08:20 | 920 | root | DEBUG | Updating global information for node_out in {'nodes': {'node_in': {'type': 'input', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': ['node_output'], 'connectedness': 0}, 'node_out': {'type': 'output', 'attributes': {}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': ['node_input'], 'n_connections_out': 0, 'connections_out': [], 'connections_out_enabled': [], 'nodes_out': [], 'following_nodes': [], 'connectedness': 1}, 'node_d1': {'type': 'dropout', 'attributes': {'rate': 0.56}, 'n_connections_in': 0, 'connections_in': [], 'connections_in_enabled': [], 'nodes_in': [], 'preceding_nodes': [], 'n_connections_out': 1, 'connections_out': ['connection_13'], 'connections_out_enabled': [True], 'nodes_out': ['node_output'], 'following_nodes': [], 'connectedness': 0}}, 'connections': {'connection_13': {'in': 'node_d1', 'out': 'node_output', 'enabled': True, 'innovation': 13}}, 'scores': {'fitness': 0, 'age': 0}, 'meta_data': {'n_nodes': 2, 'n_connections': 1, 'n_enabled': 1, 'n_convolution': 0, 'n_pooling': 0, 'n_dropout': 0, 'connections': [('node_input', 'node_output', 'connection_1')], 'connections_enabled': [True], 'node_list': ['node_input', 'node_output']}}
